verb;tense;person;conjugation
[kommen];plusquamperfekt_indikativ;2;[warst gekommen]
[kommen];plusquamperfekt_konjunktiv_2;2;"[wärst gekommen;wärest gekommen]"
[kommen];plusquamperfekt_indikativ;3;[war gekommen]
[kommen];plusquamperfekt_konjunktiv_2;3;[wäre gekommen]
[kommen];plusquamperfekt_indikativ;4;[waren gekommen]
[kommen];plusquamperfekt_konjunktiv_2;4;[wären gekommen]
[kommen];plusquamperfekt_indikativ;5;[wart gekommen]
[kommen];plusquamperfekt_konjunktiv_2;5;"[wärt gekommen;wäret gekommen]"
[kommen];plusquamperfekt_indikativ;6;[waren gekommen]
[kommen];plusquamperfekt_konjunktiv_2;6;[wären gekommen]
[kommen];futur_1_indikativ;1;[werde kommen]
[kommen];futur_1_konjunktiv_1;1;[werde kommen]
[kommen];futur_1_konjunktiv_2;1;[würde kommen]
[kommen];futur_1_indikativ;2;[wirst kommen]
[kommen];futur_1_konjunktiv_1;2;[werdest kommen]
[kommen];futur_1_konjunktiv_2;2;[würdest kommen]
[kommen];futur_1_indikativ;3;[wird kommen]
[kommen];futur_1_konjunktiv_1;3;[werde kommen]
[kommen];futur_1_konjunktiv_2;3;[würde kommen]
[kommen];futur_1_indikativ;4;[werden kommen]
[kommen];futur_1_konjunktiv_1;4;[werden kommen]
[kommen];futur_1_konjunktiv_2;4;[würden kommen]
[kommen];futur_1_indikativ;5;[werdet kommen]
[kommen];futur_1_konjunktiv_1;5;[werdet kommen]
[kommen];futur_1_konjunktiv_2;5;[würdet kommen]
[kommen];futur_1_indikativ;6;[werden kommen]
[kommen];futur_1_konjunktiv_1;6;[werden kommen]
[kommen];futur_1_konjunktiv_2;6;[würden kommen]
[kommen];futur_2_indikativ;1;[werde gekommen sein]
[kommen];futur_2_konjunktiv_1;1;[werde gekommen sein]
[kommen];futur_2_konjunktiv_2;1;[würde gekommen sein]
[kommen];futur_2_indikativ;2;[wirst gekommen sein]
[kommen];futur_2_konjunktiv_1;2;[werdest gekommen sein]
[kommen];futur_2_konjunktiv_2;2;[würdest gekommen sein]
[kommen];futur_2_indikativ;3;[wird gekommen sein]
[kommen];futur_2_konjunktiv_1;3;[werde gekommen sein]
[kommen];futur_2_konjunktiv_2;3;[würde gekommen sein]
[kommen];futur_2_indikativ;4;[werden gekommen sein]
[kommen];futur_2_konjunktiv_1;4;[werden gekommen sein]
[kommen];futur_2_konjunktiv_2;4;[würden gekommen sein]
[kommen];futur_2_indikativ;5;[werdet gekommen sein]
[kommen];futur_2_konjunktiv_1;5;[werdet gekommen sein]
[kommen];futur_2_konjunktiv_2;5;[würdet gekommen sein]
[kommen];futur_2_indikativ;6;[werden gekommen sein]
[kommen];futur_2_konjunktiv_1;6;[werden gekommen sein]
[kommen];futur_2_konjunktiv_2;6;[würden gekommen sein]
[schlafen];imperativ;2;"[schlaf;schlafe]"
[schlafen];imperativ;5;[schlaft]
[schlafen];imperativ;6;[schlafen Sie]
[schlafen];praesens_indikativ;1;[schlafe]
[schlafen];praesens_konjunktiv_1;1;[schlafe]
[schlafen];praesens_indikativ;2;[schläfst]
[schlafen];praesens_konjunktiv_1;2;[schlafest]
[schlafen];praesens_indikativ;3;[schläft]
[schlafen];praesens_konjunktiv_1;3;[schlafe]
[schlafen];praesens_indikativ;4;[schlafen]
[schlafen];praesens_konjunktiv_1;4;[schlafen]
[schlafen];praesens_indikativ;5;[schlaft]
[schlafen];praesens_konjunktiv_1;5;[schlafet]
[schlafen];praesens_indikativ;6;[schlafen]
[schlafen];praesens_konjunktiv_1;6;[schlafen]
[schlafen];praeteritum_indikativ;1;[schlief]
[schlafen];praeteritum_konjunktiv_2;1;[schliefe]
[schlafen];praeteritum_indikativ;2;[schliefst]
[schlafen];praeteritum_konjunktiv_2;2;[schliefest]
[schlafen];praeteritum_indikativ;3;[schlief]
[schlafen];praeteritum_konjunktiv_2;3;[schliefe]
[schlafen];praeteritum_indikativ;4;[schliefen]
[schlafen];praeteritum_konjunktiv_2;4;[schliefen]
[schlafen];praeteritum_indikativ;5;[schlieft]
[schlafen];praeteritum_konjunktiv_2;5;[schliefet]
[schlafen];praeteritum_indikativ;6;[schliefen]
[schlafen];praeteritum_konjunktiv_2;6;[schliefen]
[schlafen];perfekt_indikativ;1;[habe geschlafen]
[schlafen];perfekt_konjunktiv_1;1;[habe geschlafen]
[schlafen];perfekt_indikativ;2;[hast geschlafen]
[schlafen];perfekt_konjunktiv_1;2;[habest geschlafen]
[schlafen];perfekt_indikativ;3;[hat geschlafen]
[schlafen];perfekt_konjunktiv_1;3;[habe geschlafen]
[schlafen];perfekt_indikativ;4;[haben geschlafen]
[schlafen];perfekt_konjunktiv_1;4;[haben geschlafen]
[schlafen];perfekt_indikativ;5;[habt geschlafen]
[schlafen];perfekt_konjunktiv_1;5;[habet geschlafen]
[schlafen];perfekt_indikativ;6;[haben geschlafen]
[schlafen];perfekt_konjunktiv_1;6;[haben geschlafen]
[schlafen];plusquamperfekt_indikativ;1;[hatte geschlafen]
[schlafen];plusquamperfekt_konjunktiv_2;1;[hätte geschlafen]
[schlafen];plusquamperfekt_indikativ;2;[hattest geschlafen]
[schlafen];plusquamperfekt_konjunktiv_2;2;[hättest geschlafen]
[schlafen];plusquamperfekt_indikativ;3;[hatte geschlafen]
[schlafen];plusquamperfekt_konjunktiv_2;3;[hätte geschlafen]
[schlafen];plusquamperfekt_indikativ;4;[hatten geschlafen]
[schlafen];plusquamperfekt_konjunktiv_2;4;[hätten geschlafen]
[schlafen];plusquamperfekt_indikativ;5;[hattet geschlafen]
[schlafen];plusquamperfekt_konjunktiv_2;5;[hättet geschlafen]
[schlafen];plusquamperfekt_indikativ;6;[hatten geschlafen]
[schlafen];plusquamperfekt_konjunktiv_2;6;[hätten geschlafen]
[schlafen];futur_1_indikativ;1;[werde schlafen]
